Temperature (K)	B-Field (Gauss)	sample I AB	sample I AD	sample I AC	sample I BD	sample I -AB	sample I -AD	sample I -AC	sample I -BD	Voltage DC	Voltage BC	Voltage BD	Voltage AC	Voltage -DC	Voltage -BC	Voltage -BD	Voltage -AC	
96.0100000	3986.0000000	0.0000250	0.0000250	0.0000250	0.0000250	-0.0000250	-0.0000250	-0.0000250	-0.0000250	-0.0072399	0.0074446	0.0226898	0.0208359	-0.0072750	-0.0091256	-0.0232684	-0.0201577
97.2900000	28.3400002	0.0000250	0.0000250	0.0000250	0.0000250	-0.0000250	-0.0000250	-0.0000250	-0.0000250	0.0037961	0.0046133	0.0007164	-0.0003501	-0.0053115	-0.0061161	-0.0012865	0.0008389
98.5250000	-3968.0000000	0.0000250	0.0000250	0.0000250	0.0000250	-0.0000250	-0.0000250	-0.0000250	-0.0000250	0.0060643	0.0067589	-0.0206569	-0.0226637	-0.0076484	-0.0083348	0.0200955	0.0232584
100.2200000	3987.0000000	0.0000250	0.0000250	0.0000250	0.0000250	-0.0000250	-0.0000250	-0.0000250	-0.0000250	0.0060350	0.0079993	0.0228743	0.0208212	-0.0077044	-0.0096541	-0.0234525	-0.0201795
101.5950000	28.1800003	0.0000250	0.0000250	0.0000250	0.0000250	-0.0000250	-0.0000250	-0.0000250	-0.0000250	0.0041742	0.0050569	0.0007841	-0.0004209	-0.0056783	-0.0065562	-0.0013560	0.0009002
102.8200000	-3968.0000000	0.0000250	0.0000250	0.0000250	0.0000250	-0.0000250	-0.0000250	-0.0000250	-0.0000250	0.0065505	0.0073259	-0.0206632	-0.0228544	-0.0081191	-0.0088965	0.0200893	0.0234273
64.9350000	3986.0000000	0.0000250	0.0000250	0.0000250	0.0000250	-0.0000250	-0.0000250	-0.0000250	-0.0000250	0.0065400	0.0085842	0.0230417	0.0208100	-0.0081790	-0.0102300	-0.0236363	-0.0201892
105.7900000	28.3400002	0.0000250	0.0000250	0.0000250	0.0000250	-0.0000250	-0.0000250	-0.0000250	-0.0000250	0.0045713	0.0055204	0.0008483	-0.0004963	-0.0060703	-0.0070190	-0.0014310	0.0009629
107.0400000	-3968.0000000	0.0000250	0.0000250	0.0000250	0.0000250	-0.0000250	-0.0000250	-0.0000250	-0.0000250	0.0070586	0.0079200	-0.0206587	-0.0230431	-0.0086058	-0.0094737	0.0200865	0.0236006
108.6750000	3986.0000000	0.0000250	0.0000250	0.0000250	0.0000250	-0.0000250	-0.0000250	-0.0000250	-0.0000250	0.0070568	0.0091955	0.0232164	0.0207888	-0.0086791	-0.0108307	-0.0238227	-0.0202013
110.0850000	28.2500000	0.0000250	0.0000250	0.0000250	0.0000250	-0.0000250	-0.0000250	-0.0000250	-0.0000250	0.0050069	0.0060282	0.0009204	-0.0005790	-0.0064919	-0.0075251	-0.0015145	0.0010361
111.3300000	-3967.0000000	0.0000250	0.0000250	0.0000250	0.0000250	-0.0000250	-0.0000250	-0.0000250	-0.0000250	0.0075934	0.0085453	-0.0206564	-0.0232406	-0.0091284	-0.0100913	0.0200754	0.0237862
