Temperature (K)	B-Field (Gauss)	sample I AB	sample I AD	sample I AC	sample I BD	sample I -AB	sample I -AD	sample I -AC	sample I -BD	Voltage DC	Voltage BC	Voltage BD	Voltage AC	Voltage -DC	Voltage -BC	Voltage -BD	Voltage -AC	
96.0050000	4133.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	0.0003071	0.0000494	0.0004046	0.0004891	-0.0002119	-0.0006164	-0.0014883	-0.0012055
97.2900000	27.7399998	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	0.0002044	-0.0000361	-0.0004415	-0.0003855	-0.0001601	-0.0004685	-0.0005237	-0.0003365
98.6150000	-4108.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	0.0003247	0.0000711	-0.0013361	-0.0013461	-0.0002273	-0.0005391	0.0003531	0.0005523
100.1750000	4132.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	0.0003167	0.0000774	0.0004254	0.0005010	-0.0002378	-0.0006378	-0.0014904	-0.0011988
101.4300000	27.7000008	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	0.0002128	-0.0000181	-0.0004359	-0.0003820	-0.0001829	-0.0004847	-0.0005189	-0.0003304
102.5800000	-4107.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	0.0003404	0.0000907	-0.0013406	-0.0013453	-0.0002497	-0.0005604	0.0003534	0.0005686
104.1900000	4131.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	0.0003231	0.0000937	0.0004347	0.0005061	-0.0002612	-0.0006613	-0.0014853	-0.0011897
105.6250000	27.5000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	0.0002225	-0.0000064	-0.0004306	-0.0003774	-0.0002033	-0.0005052	-0.0005242	-0.0003159
107.0150000	-4105.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	0.0003490	0.0001130	-0.0013278	-0.0013392	-0.0002840	-0.0005881	0.0003571	0.0005820
108.5950000	4129.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	0.0003464	0.0001242	0.0004534	0.0005105	-0.0002916	-0.0006833	-0.0014862	-0.0011842
110.0450000	27.6100006	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	0.0002380	0.0000164	-0.0004244	-0.0003790	-0.0002210	-0.0005250	-0.0005186	-0.0003116
111.4400000	-4104.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	0.0003664	0.0001395	-0.0013210	-0.0013409	-0.0003053	-0.0006113	0.0003639	0.0005997
113.1250000	4128.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	0.0003626	0.0001567	0.0004661	0.0005161	-0.0003159	-0.0007066	-0.0014896	-0.0011774
114.5750000	27.5200005	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	0.0002544	0.0000426	-0.0004160	-0.0003765	-0.0002434	-0.0005485	-0.0005204	-0.0003060
115.9850000	-4103.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	0.0003874	0.0001683	-0.0013117	-0.0013410	-0.0003334	-0.0006369	0.0003719	0.0006121
117.6500000	4126.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	0.0003812	0.0001835	0.0004807	0.0005173	-0.0003438	-0.0007354	-0.0014921	-0.0011778
118.9500000	27.3899994	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	0.0002764	0.0000633	-0.0004175	-0.0003827	-0.0002651	-0.0005747	-0.0005286	-0.0003075
120.2150000	-4101.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	0.0004039	0.0001919	-0.0013123	-0.0013500	-0.0003622	-0.0006697	0.0003638	0.0006160
121.8550000	4126.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	0.0003988	0.0002111	0.0004902	0.0005090	-0.0003712	-0.0007595	-0.0014960	-0.0011764
123.1350000	27.5200005	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	0.0002895	0.0000850	-0.0004109	-0.0003812	-0.0002898	-0.0005976	-0.0005309	-0.0002984
124.4250000	-4100.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	0.0004288	0.0002194	-0.0013087	-0.0013495	-0.0003850	-0.0006971	0.0003697	0.0006350
125.9600000	4124.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	0.0004239	0.0002420	0.0005027	0.0005132	-0.0004015	-0.0007893	-0.0015019	-0.0011754
127.2650000	27.6499996	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	0.0003098	0.0001117	-0.0004028	-0.0003824	-0.0003125	-0.0006213	-0.0005298	-0.0002915
128.5350000	-4099.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	0.0004469	0.0002477	-0.0013051	-0.0013545	-0.0004189	-0.0007270	0.0003694	0.0006428
