Temperature (K)	B-Field (Gauss)	sample I AB	sample I AD	sample I AC	sample I BD	sample I -AB	sample I -AD	sample I -AC	sample I -BD	Voltage DC	Voltage BC	Voltage BD	Voltage AC	Voltage -DC	Voltage -BC	Voltage -BD	Voltage -AC	
94.5200000	3999.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0125170	0.0157038	0.0453320	0.0407807	-0.0123369	-0.0162789	-0.0465541	-0.0415747
95.2700000	28.2199993	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0086180	0.0098217	0.0013501	-0.0014788	-0.0085954	-0.0103932	-0.0024043	0.0006945
96.4600000	-3978.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0130683	0.0140446	-0.0414642	-0.0462639	-0.0130331	-0.0146243	0.0404147	0.0454419
98.0800000	4000.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0131145	0.0164918	0.0456442	0.0408109	-0.0130831	-0.0171666	-0.0468272	-0.0415709
99.3650000	28.1800003	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0092900	0.0106275	0.0014891	-0.0015881	-0.0092957	-0.0112191	-0.0025255	0.0008250
100.7150000	-3977.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0139742	0.0151151	-0.0414622	-0.0465950	-0.0139598	-0.0157041	0.0404347	0.0458060
102.2300000	3998.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0140371	0.0176073	0.0460021	0.0408250	-0.0140238	-0.0182837	-0.0471648	-0.0415731
103.5950000	28.1599998	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0100556	0.0115393	0.0016304	-0.0017189	-0.0100847	-0.0121371	-0.0026712	0.0009649
104.8200000	-3976.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0149302	0.0162395	-0.0414643	-0.0469378	-0.0149217	-0.0168228	0.0404353	0.0461575
106.4350000	3998.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0149977	0.0187633	0.0463620	0.0408331	-0.0150003	-0.0194426	-0.0475093	-0.0415617
107.7100000	28.1299992	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0108435	0.0124710	0.0017819	-0.0018496	-0.0108783	-0.0130765	-0.0028083	0.0011134
109.0450000	-3975.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0159402	0.0174297	-0.0414562	-0.0472900	-0.0159546	-0.0180331	0.0404364	0.0465367
110.6200000	3997.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0160260	0.0199951	0.0467382	0.0408324	-0.0160463	-0.0206798	-0.0478736	-0.0415496
111.9550000	28.0400009	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0117110	0.0134977	0.0019459	-0.0020008	-0.0117573	-0.0141146	-0.0029656	0.0012717
113.1800000	-3975.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0169985	0.0186648	-0.0414367	-0.0476468	-0.0170187	-0.0192743	0.0404287	0.0469204
114.8000000	3996.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0170959	0.0212883	0.0471254	0.0408178	-0.0171358	-0.0219761	-0.0482466	-0.0415246
